PERID,GENDER,COUNTRY_OF_BIRTH,NATIONALITY,RESIGN_DATE,RESIGNED,RESIGNATION_MTH,RESIGNATION_QTR,RESIGNATION_YEAR,AGE,AGE_GROUPING,MARITAL_STATUS,RANK_GRADE,RANK_GROUPING,YEARS_IN_GRADE,STATUS,EMPLOYEE_GROUP,PARENT_SERVICE,SERVICE_SUB_AREA,SERVICE_TYPE,YEARS_OF_SERVICE,VOC,UNIT,NO_OF_KIDS,MIN_CHILD_AGE,AVE_CHILD_AGE,HSP_ESTABLISHMENT,HSP_CERTIFICATE,HSP_CERT_RANK,HSP_CERT_DESC,UPGRADED_LAST_3_YRS,UPGRADED_CERT_3_YRS,UPGRADED_CERT_DESC_3_YRS,MARRIED_WITHIN_2_YEARS,DIVORCE_WITHIN_2_YEARS,DIVORCE_REMARRIED_WITHIN_2_YEARS,PROMO_LAST_5_YRS,PROMO_LAST_4_YRS,PROMO_LAST_3_YRS,PROMO_LAST_2_YRS,PROMO_LAST_1_YR,UNIT_CHG_LAST_3_YRS,UNIT_CHG_LAST_2_YRS,UNIT_CHG_LAST_1_YR,AWARDS_RECEIVED,HOUSING_TYPE,HOUSING_GROUP,HOUSING_RANK,PREV_HOUSING_TYPE,MOVE_HOUSE_T_2,HOUSE_UPG_DGRD,IPPT_SCORE,PES_SCORE,HOMETOWORKDIST,SVC_INJURY_TYPE,TOT_PERC_INC_LAST_1_YR,BAS_PERC_INC_LAST_1_YR
10000046,Male,Singapore,Singaporean,NA,0,NA,NA,NA,48,40 and Above,Marr.,RANK 18,MIDDLE OFFICER,12,ACTIVE,MILITARY REGULARS,SERVICE A,SERVICE A,Full CPF (SAVER-EOS),28.41666667,VOCATION 203,UNIT 265,1,11,11,University,Pass Degree,8,BACHELOR OF BUSINESS,YES,Qualification From Professional Bodies,ADVANCED COURSE IN LEARNING SCIENCE,NO,NO,NO,0,0,0,0,0,YES,YES,YES,2,EXECUTIVE,PUBLIC,6,NONE,NO,0,1,5,31.63,0,2.765167776,4.999526907
10000047,Male,Singapore,Singaporean,NA,0,NA,NA,NA,48,40 and Above,Marr.,RANK 18,MIDDLE OFFICER,7,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,Full CPF (SAVER-EOS),26.91666667,VOCATION 127,UNIT 229,3,11,15.33333333,Pre University,GCE 'A' Level,6,GCE 'A' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,5-ROOM,PUBLIC,5,NONE,NO,0,1,3,25.44,0,13.81135453,4.992789915
10000048,Male,Singapore,Singaporean,NA,0,NA,NA,NA,45,40 and Above,Marr.,RANK 38,SENIOR OFFICER,3,ACTIVE,MILITARY REGULARS,SERVICE E,SERVICE C,Full CPF (SAVER-EOS),22.66666667,VOCATION 262,UNIT 207,2,11,12.5,University,Master,10,MASTER OF SCIENCE,NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,YES,YES,YES,3,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,0,4,16.73,0,-17.64165986,6.903243174
10000049,Male,Singapore,Singaporean,NA,0,NA,NA,NA,47,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,29.83333333,VOCATION 59,UNIT 330,2,13,13.5,Diploma,Diploma,6,DIPLOMA IN MECHANICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,2,5-ROOM,PUBLIC,5,NONE,NO,0,2,1,11.02,0,-20.0235972,11.36205745
10000050,Male,Singapore,Singaporean,NA,0,NA,NA,NA,46,40 and Above,Single,RANK 2,MIDDLE WOSE,2,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,28.41666667,VOCATION 2,UNIT 232,0,0,0,Diploma,Diploma,6,DIPLOMA IN BUSINESS MANAGEMENT,NO,NONE,NONE,NO,NO,NO,1,1,1,0,0,NO,NO,NO,4,3-ROOM,PUBLIC,3,5-ROOM,YES,-2,2,3,32.92,0,-30.57995,-21.41861606
10000054,Male,Singapore,Singaporean,NA,0,NA,NA,NA,44,40 and Above,Marr.,RANK 5,MIDDLE WOSE,5,ACTIVE,MILITARY REGULARS,SERVICE A,SERVICE A,PP-EWOS,24.66666667,VOCATION 196,UNIT 394,2,16,17.5,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,EXECUTIVE,PUBLIC,6,NONE,NO,0,3,4,24.55,0,-25.46573733,-21.19115812
10000057,Male,Singapore,Singaporean,NA,0,NA,NA,NA,44,40 and Above,Marr.,RANK 38,SENIOR OFFICER,0,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,SAVER-EOS,23.41666667,VOCATION 127,UNIT 236,1,7,7,University,Master,10,MASTER OF BUSINESS ADMINISTRATION,NO,NONE,NONE,NO,NO,NO,1,1,1,1,1,YES,YES,YES,5,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,2,4,18.34,0,-22.02833385,7.093333309
10000059,Male,Singapore,Singaporean,NA,0,NA,NA,NA,41,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,22.83333333,VOCATION 236,UNIT 44,3,2,8.333333333,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,1,5-ROOM,PUBLIC,5,5-ROOM,YES,0,1,3,38.24,0,-13.67432991,7.344064623
10000061,Male,Singapore,Singaporean,01/10/2012,1,10,Q4,2012,41,40 and Above,Marr.,RANK 18,MIDDLE OFFICER,10,ACTIVE,NATIONAL SERVICEMEN,SERVICE D,SERVICE C,SAVER-EOS,20.08333333,VOCATION 127,UNIT 229,2,7,8.5,University,Honours Degree,9,BACHELOR OF ENGINEERING (SECOND CLASS HONOURS (UPPER)),NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,EXECUTIVE,PUBLIC,6,NONE,NO,0,0,3,4.45,0,35.18357245,2.5
10000063,Male,Singapore,Singaporean,NA,0,NA,NA,NA,42,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE C,SERVICE C,MDES,22.16666667,VOCATION 157,UNIT 40,2,11,12.5,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,2,EXECUTIVE,PUBLIC,6,NONE,NO,0,2,3,21.67,0,-5.419876947,6.565519539
10000064,Male,Singapore,Singaporean,NA,0,NA,NA,NA,43,40 and Above,Single,RANK 21,JUNIOR ME,3,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,22.08333333,VOCATION 12,UNIT 110,0,0,0,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,1,0,0,0,0,YES,YES,NO,3,5-ROOM,PUBLIC,5,NONE,NO,0,1,3,20.18,0,-7.025103981,7.826870761
10000067,Male,Singapore,Singaporean,NA,0,NA,NA,NA,42,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,4,ACTIVE,MILITARY REGULARS,SERVICE C,SERVICE B,SAVER-EOS,24.33333333,VOCATION 252,UNIT 297,0,0,0,University,Master,10,MASTER OF SCIENCE,YES,Qualification From Professional Bodies,ADVANCED COURSE IN LEARNING SCIENCE,NO,NO,NO,1,0,0,0,0,NO,NO,NO,1,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,1,3,13.31,0,-9.182533542,10.63083606
10000069,Male,Singapore,Singaporean,NA,0,NA,NA,NA,40,36 to 40,Marr.,RANK 26,SENIOR ME,3,ACTIVE,MILITARY REGULARS,SERVICE C,SERVICE B,MDES,20.25,VOCATION 11,UNIT 291,3,3,10.33333333,University,Pass Degree,8,BACHELOR OF SCIENCE IN INFO-COMM TECHNOLOGY WITH MILITARY STUDIES,YES,Pass Degree,BACHELOR OF SCIENCE IN INFO-COMM TECHNOLOGY WITH MILITARY STUDIES,NO,NO,NO,0,0,0,0,0,YES,YES,YES,3,4-ROOM,PUBLIC,4,NONE,NO,0,1,3,23.03,0,-12.9548358,7.209790861
10000070,Male,Singapore,Singaporean,NA,0,NA,NA,NA,41,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,2,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,SAVER-EOS,22.66666667,VOCATION 121,UNIT 261,3,2,8,University,Pass Degree,8,BACHELOR OF BUSINESS ADMINISTRATION,NO,NONE,NONE,NO,NO,NO,1,1,1,0,0,NO,NO,NO,2,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,2,4,12.89,0,-17.34898732,10.78448839
10000071,Male,Singapore,Singaporean,12/05/2010,1,5,Q2,2010,36,36 to 40,Marr.,RANK 5,MIDDLE WOSE,1,WITHDRAWN,NATIONAL SERVICEMEN,SERVICE A,SERVICE A,Premium Plan 2,17.16666667,VOCATION 187,UNIT 368,1,4,4,Technical Education,ITE/Poly Certificate,5,ELECTRONICS,NO,NONE,NONE,NO,NO,NO,2,1,1,1,0,YES,YES,NO,1,4-ROOM,PUBLIC,4,NONE,NO,0,1,4,24.55,0,0,0
10000074,Male,Singapore,Singaporean,NA,0,NA,NA,NA,49,40 and Above,Single,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,26.66666667,VOCATION 59,UNIT 304,0,0,0,Secondary,GCE 'O' Level,4,NOT AVAILABLE,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,4-ROOM,PUBLIC,4,NONE,NO,0,1,5,17.23960153,0,-17.15235257,6.528502466
10000076,Male,Singapore,Singaporean,NA,0,NA,NA,NA,50,40 and Above,Marr.,RANK 31,SENIOR WOSE,2,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,33.33333333,VOCATION 125,UNIT 229,3,15,17,Secondary,GCE 'O' Level,4,NOT AVAILABLE,NO,NONE,NONE,NO,NO,NO,1,1,1,0,0,YES,YES,NO,2,EXECUTIVE,PUBLIC,6,NONE,NO,0,2,1,18.01,0,-35.81452796,-22.80297209
10000077,Male,Singapore,Singaporean,NA,0,NA,NA,NA,49,40 and Above,Marr.,RANK 23,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,29.33333333,VOCATION 168,UNIT 150,4,15,21,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,YES,Qualification From Professional Bodies,SPECIALIST CERTIFICATE IN LEARNING AND INSTRUCTION,NO,NO,NO,0,0,0,0,0,YES,YES,YES,7,5-ROOM,PUBLIC,5,NONE,NO,0,1,3,21.12,0,-19.56290967,7.537523152
